date,jyo_cd,race_no,boat_no,racer_id,racer_name,racer_win_rate,motor_no,motor_2ren,boat_hull_no,boat_2ren,start_time,race_name,exhibition_time,tilt,temperature,weather,wind_speed,wind_direction,water_temperature,wave_height,rank,tansho
20241201,02,1,1,3507,,4.78,13,21.67,37,13.21,10:40,予選 1800m,6.88,-0.5,13.0,1,1,16,12.0,1,3,0.0
20241201,02,1,2,5256,,5.82,24,35.59,49,35.38,10:40,予選 1800m,6.73,-0.5,13.0,1,1,16,12.0,1,1,370.0
20241201,02,1,3,5073,,4.14,6,31.25,73,24.53,10:40,予選 1800m,6.66,-0.5,13.0,1,1,16,12.0,1,5,0.0
20241201,02,1,4,4789,,4.58,11,38.10,72,20.75,10:40,予選 1800m,6.81,-0.5,13.0,1,1,16,12.0,1,2,0.0
20241201,02,1,5,5065,,4.72,15,40.32,13,25.49,10:40,予選 1800m,6.75,-0.5,13.0,1,1,16,12.0,1,6,0.0
20241201,02,1,6,5315,,1.67,43,43.94,36,33.33,10:40,予選 1800m,6.72,-0.5,13.0,1,1,16,12.0,1,4,0.0
20241201,02,2,1,5095,,5.77,5,30.77,46,25.49,11:07,予選 1800m,6.74,-0.5,12.0,1,0,17,11.0,0,1,140.0
20241201,02,2,2,3385,,5.33,63,34.43,64,34.38,11:07,予選 1800m,6.85,-0.5,12.0,1,0,17,11.0,0,2,0.0
20241201,02,2,3,4049,,6.14,17,5.77,29,26.00,11:07,予選 1800m,6.77,0.0,12.0,1,0,17,11.0,0,4,0.0
20241201,02,2,4,5152,,3.88,64,31.11,60,46.03,11:07,予選 1800m,6.87,-0.5,12.0,1,0,17,11.0,0,5,0.0
20241201,02,2,5,4121,,6.12,49,26.32,43,28.57,11:07,予選 1800m,6.86,-0.5,12.0,1,0,17,11.0,0,3,0.0
20241201,02,2,6,3921,,5.06,48,29.41,33,19.57,11:07,予選 1800m,6.86,-0.5,12.0,1,0,17,11.0,0,6,0.0
20241201,02,3,1,4200,,4.22,38,41.27,28,51.85,11:34,予選 1800m,6.70,-0.5,12.0,1,1,14,11.0,1,1,170.0
20241201,02,3,2,4363,,5.66,12,44.44,70,27.78,11:34,予選 1800m,6.73,-0.5,12.0,1,1,14,11.0,1,3,0.0
20241201,02,3,3,3412,,6.21,60,26.53,31,29.17,11:34,予選 1800m,6.75,0.0,12.0,1,1,14,11.0,1,2,0.0
20241201,02,3,4,4676,,4.89,47,43.08,71,42.62,11:34,予選 1800m,6.81,-0.5,12.0,1,1,14,11.0,1,4,0.0
20241201,02,3,5,3202,,4.66,2,41.18,41,40.00,11:34,予選 1800m,6.81,-0.5,12.0,1,1,14,11.0,1,6,0.0
20241201,02,3,6,4290,,6.83,4,30.67,20,34.55,11:34,予選 1800m,6.77,0.0,12.0,1,1,14,11.0,1,5,0.0
20241201,02,4,1,3911,,4.92,1,31.34,12,30.88,12:01,予選 1800m,6.73,-0.5,12.0,1,0,17,11.0,0,1,310.0
20241201,02,4,2,3517,,5.50,27,37.88,68,47.17,12:01,予選 1800m,6.70,-0.5,12.0,1,0,17,11.0,0,2,0.0
20241201,02,4,3,4486,,6.48,16,33.33,18,45.76,12:01,予選 1800m,6.72,-0.5,12.0,1,0,17,11.0,0,3,0.0
20241201,02,4,4,3434,,4.32,7,42.62,27,42.62,12:01,予選 1800m,6.80,-0.5,12.0,1,0,17,11.0,0,5,0.0
20241201,02,4,5,4012,,6.34,59,26.09,74,27.78,12:01,予選 1800m,6.87,-0.5,12.0,1,0,17,11.0,0,4,0.0
20241201,02,4,6,4828,,5.86,53,48.28,15,42.62,12:01,予選 1800m,6.81,-0.5,12.0,1,0,17,11.0,0,6,0.0
20241201,02,5,1,4118,,6.63,25,43.08,52,38.98,12:28,ウインウイン５ 1800m,6.76,-0.5,12.0,1,1,16,11.0,1,1,120.0
20241201,02,5,2,3553,,4.25,57,20.93,69,36.36,12:28,ウインウイン５ 1800m,6.76,-0.5,12.0,1,1,16,11.0,1,6,0.0
20241201,02,5,3,3714,,4.58,18,40.30,48,36.36,12:28,ウインウイン５ 1800m,6.77,0.0,12.0,1,1,16,11.0,1,3,0.0
20241201,02,5,4,4397,,7.24,8,37.50,63,32.00,12:28,ウインウイン５ 1800m,6.75,-0.5,12.0,1,1,16,11.0,1,2,0.0
20241201,02,5,5,5073,,4.14,6,31.25,73,24.53,12:28,ウインウイン５ 1800m,6.70,-0.5,12.0,1,1,16,11.0,1,5,0.0
20241201,02,5,6,4818,,4.83,3,31.34,75,40.00,12:28,ウインウイン５ 1800m,6.73,-0.5,12.0,1,1,16,11.0,1,4,0.0
20241201,02,6,1,3910,,4.33,61,27.08,62,38.00,12:56,予選 1800m,6.81,0.0,12.0,1,0,17,11.0,0,4,0.0
20241201,02,6,2,4099,,6.70,50,20.00,56,33.33,12:56,予選 1800m,6.84,-0.5,12.0,1,0,17,11.0,0,3,0.0
20241201,02,6,3,3984,,6.59,62,37.50,55,22.64,12:56,予選 1800m,6.79,-0.5,12.0,1,0,17,11.0,0,2,0.0
20241201,02,6,4,5065,,4.72,15,40.32,13,25.49,12:56,予選 1800m,6.75,-0.5,12.0,1,0,17,11.0,0,6,0.0
20241201,02,6,5,3966,,6.43,10,40.54,65,38.60,12:56,予選 1800m,6.76,-0.5,12.0,1,0,17,11.0,0,1,480.0
20241201,02,6,6,5152,,3.88,64,31.11,60,46.03,12:56,予選 1800m,6.87,-0.5,12.0,1,0,17,11.0,0,5,0.0
20241201,02,7,1,4428,,6.65,58,31.82,76,14.55,13:24,ウインウイン７ 1800m,6.75,-0.5,12.0,1,1,16,11.0,1,1,100.0
20241201,02,7,2,4676,,4.89,47,43.08,71,42.62,13:24,ウインウイン７ 1800m,6.80,-0.5,12.0,1,1,16,11.0,1,2,0.0
20241201,02,7,3,5095,,5.77,5,30.77,46,25.49,13:24,ウインウイン７ 1800m,6.74,-0.5,12.0,1,1,16,11.0,1,3,0.0
20241201,02,7,4,3867,,3.30,54,26.79,57,29.58,13:24,ウインウイン７ 1800m,6.82,-0.5,12.0,1,1,16,11.0,1,4,0.0
20241201,02,7,5,3507,,4.78,13,21.67,37,13.21,13:24,ウインウイン７ 1800m,6.87,-0.5,12.0,1,1,16,11.0,1,5,0.0
20241201,02,7,6,5300,,1.72,55,51.85,19,45.00,13:24,ウインウイン７ 1800m,6.81,0.0,12.0,1,1,16,11.0,1,6,0.0
20241201,02,8,1,4623,,4.66,9,30.43,45,36.84,13:52,予選 1800m,6.68,-0.5,13.0,1,2,14,11.0,1,1,300.0
20241201,02,8,2,4486,,6.48,16,33.33,18,45.76,13:52,予選 1800m,6.75,-0.5,13.0,1,2,14,11.0,1,2,0.0
20241201,02,8,3,3940,,6.14,52,41.67,30,34.43,13:52,予選 1800m,6.66,0.0,13.0,1,2,14,11.0,1,3,0.0
20241201,02,8,4,3921,,5.06,48,29.41,33,19.57,13:52,予選 1800m,6.72,-0.5,13.0,1,2,14,11.0,1,5,0.0
20241201,02,8,5,4363,,5.66,12,44.44,70,27.78,13:52,予選 1800m,6.78,-0.5,13.0,1,2,14,11.0,1,4,0.0
20241201,02,8,6,5098,,4.43,46,25.86,39,38.10,13:52,予選 1800m,6.66,-0.5,13.0,1,2,14,11.0,1,6,0.0
20241201,02,9,1,3412,,6.21,60,26.53,31,29.17,14:20,戸田特賞 1800m,6.76,-0.5,13.0,1,3,14,12.0,2,1,150.0
20241201,02,9,2,4887,,5.22,56,40.35,61,42.86,14:20,戸田特賞 1800m,6.69,-0.5,13.0,1,3,14,12.0,2,5,0.0
20241201,02,9,3,4012,,6.34,59,26.09,74,27.78,14:20,戸田特賞 1800m,6.84,-0.5,13.0,1,3,14,12.0,2,2,0.0
20241201,02,9,4,3714,,4.58,18,40.30,48,36.36,14:20,戸田特賞 1800m,6.65,0.0,13.0,1,3,14,12.0,2,3,0.0
20241201,02,9,5,3385,,5.33,63,34.43,64,34.38,14:20,戸田特賞 1800m,6.81,-0.5,13.0,1,3,14,12.0,2,4,0.0
20241201,02,9,6,4789,,4.58,11,38.10,72,20.75,14:20,戸田特賞 1800m,6.77,-0.5,13.0,1,3,14,12.0,2,6,0.0
20241201,02,10,1,3984,,6.59,62,37.50,55,22.64,14:49,戸田特賞 1800m,6.71,-0.5,13.0,1,1,14,12.0,1,2,0.0
20241201,02,10,2,4121,,6.12,49,26.32,43,28.57,14:49,戸田特賞 1800m,6.72,-0.5,13.0,1,1,14,12.0,1,1,790.0
20241201,02,10,3,4003,,5.61,14,48.44,21,21.82,14:49,戸田特賞 1800m,6.70,-0.5,13.0,1,1,14,12.0,1,5,0.0
20241201,02,10,4,4200,,4.22,38,41.27,28,51.85,14:49,戸田特賞 1800m,6.75,-0.5,13.0,1,1,14,12.0,1,3,0.0
